MeasuredRoutesBudget,Random_MeanRMSE_dB,Random_StdRMSE_dB,Random_CI95_dB,Active_RMSE_dB,Active_MAE_dB
2,8.47289957521848,1.99332383804618,0.873612690196241,9.11735543253205,5.98684537355964
3,7.2618328340665,2.39046800248219,1.04766879451131,9.54055282664957,6.38403805433829
4,5.57575734399947,1.48143833710925,0.649268977945104,5.37825539807872,4.03236731364898
5,5.30761932095751,1.48416825962879,0.650465419241194,4.33703505938297,3.31741406319406
6,5.0395754364076,1.3737489284431,0.602072013651186,3.68209414487716,2.75076968199926
7,4.33772494582134,1.04950321927978,0.459965066019235,2.97543426832833,2.16119276165563
8,3.11757049222656,0.926192128579589,0.405921597706921,2.59221782431281,1.86739186868531
