SamplingDensity_Pct,IDW_RMSE_dB,LogDist_RMSE_dB,GPR_RMSE_dB,RandomForest_RMSE_dB
2,3.53800929881949,5.29962121041105,2.11954307545735,4.56500394063423
5,2.13125995281581,5.25357223200712,1.07502017373907,2.85147099334681
8,1.63730344311425,5.24525632986558,0.877902455678204,2.28050268521491
10,1.47924372831491,5.23837867313991,0.819378065552512,2.00285308851668
20,1.15711057810993,5.221312488942,0.747367131830925,1.40080443609574
40,0.92076077798906,5.21227252997238,0.701175719343833,1.01764503640895
