Timestamp,Latitude,Longitude,X,Y,Distance,LogDist,Azimuth,RouteID,CellID,Frequency_MHz,RSRP_dBm
2012-12-05 12:10:50,35.512498713333,24.01856394,-539.99758156949,461.389488230145,710.265899470172,2.8514209642885,139.488468994411,1,60564,1858.4,-80
2013-03-19 12:11:18,35.51644795,24.018649816667,-532.215617217122,901.018514000311,1046.46444076286,3.01972447544312,120.569591368735,2,60565,1876.6,-78
2013-03-19 12:08:27,35.51797385,24.0187765,-520.73583794899,1070.881702,1190.77849854742,3.07583098414859,115.932186455435,2,60565,1876.6,-89
2013-03-19 12:11:25,35.516188333333,24.018852433333,-513.854917773811,872.117986629682,1012.2433793922,3.00528494493382,120.506738341765,2,60565,1876.6,-84
2013-03-19 12:08:20,35.5180006,24.018881166667,-511.251163008554,1073.85951200039,1189.34940332575,3.07530945902973,115.458538517573,2,60565,1876.6,-71
2012-09-16 15:48:24,35.518305740847,24.018925139407,-507.266445074146,1107.82779108812,1218.44230926431,3.08580497105763,114.602705664769,2,60565,1876.6,-91
2012-09-21 13:51:43,35.518722183333,24.018951116667,-504.912439983284,1154.18616862957,1259.79454035397,3.10029972189028,113.627544013186,2,60565,1876.6,-88
2012-12-05 12:11:03,35.512497275,24.0189800075,-502.294412987438,461.229373000457,681.932703304945,2.83374151831428,137.440448757553,1,60564,1858.4,-71
2012-12-05 11:28:20,35.51385875,24.019085866667,-492.701676185476,612.788770000006,786.298301126295,2.89558733733195,128.800389317274,1,60565,1876.6,-68
2013-03-19 12:11:31,35.516058183333,24.01901975,-498.693030574145,857.629688630035,992.080350356197,2.99654684786299,120.177070839928,2,60565,1876.6,-84
2013-03-19 12:08:14,35.518018683333,24.018988283333,-501.544474271332,1075.87254862954,1187.03352967249,3.07446298647446,114.993738487692,2,60565,1876.6,-83
2012-09-16 15:48:18,35.518316712471,24.018982090019,-502.105699461559,1109.04915227184,1217.41535869508,3.08543877643329,114.357941207764,2,60565,1876.6,-84
2013-03-13 23:53:48,35.518578602296,24.019133604591,-488.375765134247,1138.20272759138,1238.554131666,3.0929149924076,113.223022254919,2,60565,1876.6,-80
2013-03-13 23:45:08,35.515402026429,24.019264772857,-476.489570597245,784.58630207673,917.942251067236,2.96281536003378,121.270859842414,2,60565,1876.6,-79
2013-03-13 23:45:52,35.516184658889,24.019218044444,-480.724001868415,871.708947524126,995.475793360142,2.99803070390343,118.875552049579,2,60565,1876.6,-77
2013-03-19 12:08:08,35.518033283333,24.01916465,-485.562494957682,1077.49782062955,1181.85129774053,3.07256283641548,114.258182600374,2,60565,1876.6,-83
2012-09-19 15:33:01,35.518323603973,24.019258018564,-477.101630533789,1109.8163142749,1208.02244072232,3.08207500199319,113.262502992622,2,60565,1876.6,-92
2013-03-13 23:53:55,35.518560625483,24.01920009217,-482.350799474677,1136.20154876763,1234.34851366048,3.09143779842492,113.002642968202,2,60565,1876.6,-80
2013-01-20 18:35:17,35.512516651111,24.019433318889,-461.21628090669,463.386321676792,653.794570863468,2.8154413098604,134.865527147709,1,60564,1858.4,-79
2012-12-17 18:13:48,35.514500366667,24.019315666667,-471.877679742331,684.213537370845,831.153842173956,2.91968141683285,124.592644764123,1,60565,1876.6,-77
